Јазол,X,Y
663,7556418.49,4653836.42
664,7554771.31,4640222.79
665,7554750.37,4640149.72
666,7554921.78,4640157.92
667,7554671.48,4640381.61
668,7557579.91,4638064.73
669,7557685.29,4637901.35
670,7557766.81,4637738.3
671,7557817.29,4637580.75
672,7569676.77,4616060.12
673,7592260.73,4595543.35
674,7592336.68,4595612.68
675,7624228.91,4571321.59
676,7624249.12,4571452.66
677,7624465.84,4568606.91
678,7624517.77,4568473.79
679,7624762.31,4568026.7
680,7624698.46,4568132.24
681,7629160.95,4556512.86
682,7628990.26,4556726.61
683,7630144.57,4555986.35
684,7630246.79,4555886.93
685,7630481.84,4555744.13
686,7629988.99,4556147.42
687,7547634.81,4650817.35
688,7547805.75,4650811.14
689,7523891.11,4649425.48
690,7523646.06,4649322.88
691,7523530.49,4649263.63
692,7523846.01,4649394.59
693,7521387.76,4648344.08
694,7521214.02,4648316.18
695,7502769.65,4649923.45
696,7502608.44,4649993.91
697,7496853.63,4648115.03
698,7496830.73,4647951.29
699,7496817.24,4647805.54
700,7496841.81,4647938.92
701,7495645.53,4641370.59
702,7495594.21,4641263.31
703,7529379.87,4548497.23
704,7529357.41,4548364.5
705,7542233.64,4571759.88
706,7542167.65,4571689.33
707,7603105.46,4632791.81
708,7603017.66,4632751.41
709,7614392.92,4640426.3
710,7614302.61,4640407.66
711,7655697.44,4650999.58
712,7655650.31,4651120.76
713,7535510.72,4530857.89
714,7535509.7,4530992.58
715,7525420.88,4666107.35
716,7526255.07,4665077.75
717,7547633.5,4647466.46
718,7547762.26,4647376.34
719,7548461.8,4646724.97
720,7548405.62,4646791.05
721,7664503.86,4585481.67
722,7664485.33,4585570.99
723,7558539.45,4676929.98
724,7558548.61,4676782.53
725,7630766.3,4555296.4
726,7630370.17,4555790.17
727,7620838.95,4676214.6
728,7558714.42,4671835.28
729,7558712.55,4671877.79
730,7559006.48,4670295.24
731,7559077.11,4670019.1
732,7559137.67,4668603.97
733,7559164.17,4668535.85
734,7555432.64,4650673.01
735,7555403.26,4650487.61
736,7555006.92,4649859.99
737,7552904.73,4646443.64
738,7553031.02,4646594.63
739,7554605.72,4649096.69
740,7552703.85,4645899.45
741,7552732.45,4645776.42
742,7552512.4,4644297.61
743,7552385.81,4643771.52
744,7554706.57,4640329.52
745,7554833.21,4640214.83
746,7556898.9,4639235.4
747,7556558.33,4639030.14
748,7564260.53,4622999.48
749,7564622.8,4622949.1
750,7565812.74,4621079.56
751,7566121.82,4621040.0
752,7569659.33,4616352.1
753,7569721.66,4616011.36
754,7569491.92,4615436.11
755,7569465.06,4615321.95
756,7580223.14,4602423.32
757,7580175.93,4602476.73
758,7581536.33,4601209.55
759,7581554.24,4601218.6
760,7592067.28,4595788.83
761,7592112.0,4595753.9
762,7603037.81,4586793.89
763,7603075.65,4586782.78
764,7621275.26,4578502.31
765,7621326.32,4578411.58
766,7625175.58,4571893.73
767,7624211.82,4571273.13
769,7623641.24,4569997.5
770,7623569.03,4570144.48
771,7625918.48,4563250.11
772,7625871.11,4563514.46
773,7627528.27,4557711.4
774,7627428.51,4557786.55
775,7579441.12,4598305.92
776,7579448.79,4598407.79
777,7575330.22,4589179.98
778,7575401.49,4589253.88
779,7547241.29,4576473.19
780,7547034.23,4576382.29
781,7544076.36,4574485.02
782,7544007.56,4574382.88
783,7560747.69,4668576.73
784,7560599.65,4668418.33
785,7551880.27,4648836.32
786,7551691.87,4648843.2
787,7548272.7,4650786.77
788,7548107.34,4650793.12
789,7546609.75,4650519.35
790,7546603.09,4650502.81
791,7545163.12,4650186.33
792,7544724.03,4650028.69
793,7544684.37,4652637.77
794,7544671.4,4652636.98
795,7620916.6,4676101.45
796,7653438.12,4623241.4
797,7653402.58,4623141.91
798,7620582.52,4676016.66
799,7620698.42,4676246.08
800,7648439.19,4647757.55
801,7513105.73,4635278.51
802,7564383.4,4623012.81
803,7559396.92,4677760.87
804,7499431.57,4651091.62
805,7498508.46,4651479.02
806,7620256.47,4573648.65
807,7623714.46,4569814.62
808,7603206.63,4586797.86
809,7624090.56,4570073.92
810,7620141.9,4573835.04
811,7620321.22,4573555.33
812,7617763.64,4576563.46
813,7617772.86,4576569.53
814,7623725.03,4569818.15
815,7620409.28,4573929.31
816,7620264.89,4573655.82
817,7554439.84,4649087.18
818,7554406.55,4649110.9
819,7559661.94,4646688.4
820,7559667.65,4646709.54
821,7559513.29,4646712.91
822,7559522.7,4646733.94
823,7573294.32,4641778.69
824,7573298.31,4641797.16
825,7573117.75,4641877.58
826,7573410.84,4641737.7
827,7578301.3,4637453.0
828,7578307.8,4637466.75
829,7578176.33,4637610.84
830,7578381.41,4637398.19
831,7580355.92,4635085.64
832,7580366.75,4635089.47
833,7580310.08,4635186.48
834,7580214.87,4635358.14
835,7586789.32,4630254.5
836,7587122.52,4630216.35
837,7594419.04,4626675.14
